sample	type
TCGA.34.8456.01	LUSC
TCGA.34.A5IX.01	LUSC
TCGA.37.3783.01	LUSC
TCGA.37.3789.01	LUSC
TCGA.37.3792.01	LUSC
TCGA.37.4129.01	LUSC
TCGA.37.4130.01	LUSC
TCGA.37.4132.01	LUSC
TCGA.37.4133.01	LUSC
TCGA.37.4135.01	LUSC
TCGA.37.4141.01	LUSC
TCGA.37.5819.01	LUSC
TCGA.37.A5EL.01	LUSC
TCGA.37.A5EM.01	LUSC
TCGA.37.A5EN.01	LUSC
TCGA.39.5011.01	LUSC
TCGA.39.5016.01	LUSC
TCGA.39.5019.01	LUSC
TCGA.39.5021.01	LUSC
TCGA.39.5022.01	LUSC
TCGA.39.5024.01	LUSC
TCGA.39.5027.01	LUSC
TCGA.39.5028.01	LUSC
TCGA.39.5029.01	LUSC
TCGA.39.5030.01	LUSC
TCGA.39.5031.01	LUSC
TCGA.39.5034.01	LUSC
TCGA.39.5035.01	LUSC
TCGA.39.5036.01	LUSC
TCGA.39.5037.01	LUSC
TCGA.39.5039.01	LUSC
TCGA.39.5040.01	LUSC
TCGA.43.2576.01	LUSC
TCGA.43.2578.01	LUSC
TCGA.43.2581.01	LUSC
TCGA.43.3394.01	LUSC
TCGA.43.3920.01	LUSC
TCGA.43.5668.01	LUSC
TCGA.43.5670.01	LUSC
TCGA.43.6143.01	LUSC
TCGA.43.6647.01	LUSC
TCGA.43.6770.01	LUSC
TCGA.43.6771.01	LUSC
TCGA.43.6773.01	LUSC
TCGA.43.7656.01	LUSC
TCGA.43.7657.01	LUSC
TCGA.43.7658.01	LUSC
TCGA.43.8115.01	LUSC
TCGA.43.8116.01	LUSC
TCGA.43.8118.01	LUSC
TCGA.43.A474.01	LUSC
TCGA.43.A475.01	LUSC
TCGA.43.A56U.01	LUSC
TCGA.43.A56V.01	LUSC
TCGA.46.3765.01	LUSC
TCGA.46.3766.01	LUSC
TCGA.46.3767.01	LUSC
TCGA.46.3768.01	LUSC
TCGA.46.3769.01	LUSC
TCGA.46.6025.01	LUSC
TCGA.46.6026.01	LUSC
TCGA.51.4079.01	LUSC
TCGA.51.4080.01	LUSC
TCGA.51.4081.01	LUSC
TCGA.51.6867.01	LUSC
TCGA.52.7622.01	LUSC
TCGA.52.7809.01	LUSC
TCGA.52.7810.01	LUSC
TCGA.52.7811.01	LUSC
TCGA.52.7812.01	LUSC
TCGA.56.1622.01	LUSC
TCGA.56.5897.01	LUSC
TCGA.56.5898.01	LUSC
TCGA.56.6545.01	LUSC
TCGA.56.6546.01	LUSC
TCGA.56.7221.01	LUSC
TCGA.56.7222.01	LUSC
TCGA.56.7223.01	LUSC
TCGA.56.7579.01	LUSC
TCGA.56.7580.01	LUSC
TCGA.56.7582.01	LUSC
TCGA.56.7730.01	LUSC
TCGA.56.7731.01	LUSC
TCGA.56.7822.01	LUSC
TCGA.56.7823.01	LUSC
TCGA.56.8082.01	LUSC
TCGA.56.8083.01	LUSC
TCGA.56.8201.01	LUSC
TCGA.56.8304.01	LUSC
TCGA.56.8305.01	LUSC
TCGA.56.8307.01	LUSC
TCGA.56.8308.01	LUSC
TCGA.56.8309.01	LUSC
TCGA.56.8503.01	LUSC
TCGA.56.8504.01	LUSC
TCGA.56.8622.01	LUSC
TCGA.56.8623.01	LUSC
TCGA.56.8624.01	LUSC
TCGA.56.8625.01	LUSC
TCGA.56.8626.01	LUSC
TCGA.56.8628.01	LUSC
TCGA.56.8629.01	LUSC
TCGA.56.A49D.01	LUSC
TCGA.56.A4BW.01	LUSC
TCGA.56.A4BX.01	LUSC
TCGA.56.A4BY.01	LUSC
TCGA.56.A4ZJ.01	LUSC
TCGA.56.A4ZK.01	LUSC
TCGA.56.A5DR.01	LUSC
TCGA.56.A5DS.01	LUSC
TCGA.56.A62T.01	LUSC
